discriminator,schema_version,lane_id,target_class,target_id,source_artifacts,feature_family,score,score_metric,degree_adjacency_baseline_score,delta_vs_degree_adjacency,random_grouping_score,delta_vs_random_grouping,sample_count,fixture_count,cv_split,cv_status,evidence_label,interpretation
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,geometric_differential,experiment_a_row_dominance,Experiment A row-mode stress rows,row,1.0,classification_accuracy,0.3333333333333333,0.6666666666666667,0.0,1.0,9,3,by_source_fixture_or_transform_where_available,proxy_transform_controls_available,derived,Row features predict row-local differential response.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,geometric_differential,d3_row_geometry_transpose_delta,D3 transpose summary,row,0.6270514633291143,mean_role_response,0.3333333333333333,0.293718129995781,0.0,0.6270514633291143,3,3,by_source_fixture_or_transform_where_available,artifact_reuse_no_fitted_cv,derived,Row-local response exceeds transpose baseline.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,interface_routing_refinement,experiment_b_column_proxy_dominance,Experiment B column proxy rows,column,1.0,classification_accuracy,0.3333333333333333,0.6666666666666667,0.0,1.0,9,3,by_source_fixture_or_transform_where_available,proxy_transform_controls_available,derived,Column features predict derived interface proxy dominance.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,interface_routing_refinement,d5_immediate_refinement_column_memory,D5 interface-memory summary,column,1.0,endpoint_column_match_accuracy,0.3333333333333333,0.6666666666666667,0.2222222222222222,0.7777777777777778,36,1,by_source_fixture_or_transform_where_available,identity_fixture_only_no_heldout_fit,direct,True old columns predict immediate refinement endpoint columns.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,interface_routing_refinement,d5_post_window_column_memory,D5 interface-memory summary,column,0.8888888888888888,persistent_endpoint_column_accuracy,0.8888888888888888,0.0,0.2222222222222222,0.6666666666666666,36,1,by_source_fixture_or_transform_where_available,identity_fixture_only_degree_baseline_competitive,partial,Column labels beat row/random semantic controls; degree/adjacency also predicts endpoint persistence in this clean fixture.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,interface_routing_refinement,d7_multiscale_semantic_columns_immediate,D7 multiscale summary,column,1.0,grouping_target_accuracy,0.3333333333333333,0.6666666666666667,0.2222222222222222,0.7777777777777778,36,1,by_source_fixture_or_transform_where_available,identity_fixture_only_no_heldout_fit,direct,True columns beat rows/random triples for immediate target.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,edge_local,d6_signed_edge_local_interaction,D6 port-interaction summary,port,1.0,r2,0.19999999999999996,0.8,0.09999999999999998,0.9,9,1,by_source_fixture_or_transform_where_available,saturated_factorial_no_statistical_cv,direct,Port-level features fit the signed target; additive row+column and random triples are weaker.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,edge_local,experiment_g_observer_local_motion,Experiment G mixed motion summary,port,1.0,canonical_control_success,,,0.0,1.0,4,3,by_source_fixture_or_transform_where_available,clean_motion_controls_no_fitted_cv,partial,Port histories support observer-local row/column motion classes.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,generic_activity,d4_lane_a_saturation_gate,D4 saturation summary,degree_adjacency_baseline,1.0,gate_formula_match,1.0,0.0,1.0,0.0,20,4,by_source_fixture_or_transform_where_available,transform_invariant_h0_competitive,direct,Lane A saturation is capacity/Hessian-based and remains competitive for ordinary graph-capacity features.
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,generic_activity,experiment_f_edge_label_path_disagreement,Experiment F path disagreement summary,degree_adjacency_baseline,1.0,edge_label_path_control_success,1.0,0.0,1.0,0.0,3,1,by_source_fixture_or_transform_where_available,edge_label_fixture_h0_competitive,direct,"Path disagreement is edge-label behavior, not row/column semantic separation."
d2_predictive_role_separation_scoring,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,identity_level_persistence,d8_configured_window_identity,D8 identity-emergence summary,port_plus_column_plus_global_basin_context,1.0,accepted_identity_criteria_success,0.0,1.0,0.0,1.0,60,20,by_source_fixture_or_transform_where_available,configured_window_fixture_only_partial,partial,"Accepted identity requires refinement lineage, persistent child sink/basin rows, and budget evidence."
